id,name,role,skills,hourly_wage,max_hours,priority,phone,status,callouts_this_month
1,Sarah K.,Closer,Closer|Cashier|Opener,16,40,1,+15550192,active,1
2,John M.,Opener,Opener|Cashier,15,35,2,+15550111,active,0
3,Marcus T.,Cake Decorator,Cake|Cashier,17,40,1,+15550134,active,2
4,Priya L.,Ice Cream Maker,IceCream|Cashier,15,30,2,+15550145,active,0
5,Alex R.,Cashier,Cashier|Closer,14,25,3,+15550156,active,3
6,Jordan S.,Cashier,Cashier,13,20,3,+15550167,active,0
7,Taylor N.,Manager,Manager|Closer|Cashier,18,32,1,+15550178,active,1
8,Maya C.,Floater,Cashier|IceCream|Cake,15,24,2,+15550189,active,0
9,Nina P.,Cake Assistant,Cake|Cashier,14,22,3,+15550201,active,0
10,Leo G.,Shift Lead,Manager|Closer|Cashier,19,38,1,+15550202,active,1
11,Amara V.,Ice Cream Maker,IceCream|Cashier|Closer,16,28,2,+15550203,active,0
12,Chris D.,Cashier,Cashier|Opener,14,26,2,+15550204,active,2
13,Elena R.,Cake Decorator,Cake|Cashier|Opener,16,32,2,+15550205,active,0
14,Dev S.,Ice Cream Maker,IceCream|Cashier,15,30,2,+15550206,active,1
15,Grace W.,Closer,Closer|Cashier|Manager,17,34,1,+15550207,active,0
16,Owen B.,Cashier,Cashier|Opener,14,28,3,+15550208,active,0
17,Iris M.,Closer,Closer|Cashier|Cake,16,24,2,+15550209,active,0
18,Noah F.,Cake Decorator,Cake|Cashier|Closer,16,24,2,+15550210,active,1
